"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0df51446-ccbe-4182-b500-5a074ef3046e","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02"
"bd0b6218-0573-4f37-b365-3c1d25a28f67","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement"
"c2538887-a5d3-413f-bb3d-5b5a0e6927f1","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A"
"d7ecfdf3-b1ea-4e3e-8934-884aa91544e2","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A","STAIR 3"
"d19f303a-80b8-4340-8f88-4d4ef53aa0d4","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GENERATOR ROOM","Installation"
"237e0fca-cde8-4600-b8a0-3b18608a2a89","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GENERATOR ROOM","Handover"
"4650417d-0d72-4f31-aafc-49b3dd45781f","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","GARDENER W/SHOP"
"73d6ffa1-f65f-4136-8d71-2fe4af38d8e8","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GARDENER W/SHOP","Rough In (Cavity Pockets Only)"
"5bc68255-78a9-45a6-be89-a8d089927885","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GARDENER W/SHOP","Fit Off"
"5516ba0f-5b35-4b94-a0cd-b1c8f67bd2e2","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GARDENER W/SHOP","Installation"
"e07b73cf-1bee-42c4-81e9-6328cac4feac","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GARDENER W/SHOP","Handover"
"137814af-c89d-4410-82f5-112a6529612a","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","MAINTENANCE W/SHOP"
"c5ff24be-6b14-4b98-8b31-43d39b7cf406","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAINTENANCE W/SHOP","Rough In (Cavity Pockets Only)"
"6212cfe1-b60a-4808-b850-2834b68e2c0a","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAINTENANCE W/SHOP","Fit Off"
"508cae89-dcd5-4dc2-bfdb-968b31610c70","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAINTENANCE W/SHOP","Installation"
"04d0b23c-0ccd-4280-81ca-f774ae3a8ad7","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAINTENANCE W/SHOP","Handover"
"69779c91-3361-49e5-9ef6-5263ffe068ae","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","SMOKE LOBBY"
"bf681db0-8a93-4fd2-9683-a7dceb2fd823","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Rough In (PMJ Only)"
"f1b35c3c-d63f-4b2e-b93e-1b350996bcd6","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Fit Off"
"e32769c4-2c2f-4fb4-bdf5-15edc8958e25","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Installation"
"65dfa587-ca07-48a3-9549-5edeee0339e2","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Handover"
"81a0b011-dafb-447e-a3a9-cbeb6f88029c","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA C"
"8f19d651-7cd0-4099-96dc-2263f5d3038a","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA C","LIFT 4 - SMOKE LOBBY/STAIR"
"4ff5da93-c83c-4273-ba5e-bbc7df381aa6","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA C","LIFT 4 - SMOKE LOBBY/STAIR","Rough In (PMJ Only)"
"06c92f28-4a0d-4cb6-95cc-b1235bc16e01","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA C","LIFT 4 - SMOKE LOBBY/STAIR","Fit Off"
"2c745a2c-86c8-454f-a1ad-221f075dfba0","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA C","LIFT 4 - SMOKE LOBBY/STAIR","Installation"
"6685dea8-54fd-4e26-bd8f-fd5c4772b31d","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA C","LIFT 4 - SMOKE LOBBY/STAIR","Handover"
"70d10b64-86a8-45f0-8fe9-aeaf9d7934da","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA D"
"7b8b7682-f83b-4b66-bdbb-ab459972ffe2","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA D","BICYCLE STORE"
"d459c473-ab82-46ef-b722-f8b44d5aeed4","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","BICYCLE STORE","Rough In (Cavity Pockets Only)"
"d4c215e1-27f5-4792-8928-08dacf6f24d0","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","BICYCLE STORE","Fit Off"
"e9c8604f-af72-4756-a8e1-71091d24951e","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","BICYCLE STORE","Installation"
"ce0c9d7d-512a-47e7-97b6-f66f1a2ea964","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","BICYCLE STORE","Handover"
"076e447b-407d-43b1-966b-9fafd53751ec","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA D","WASTE ROOM"
"f50cc2e8-faf5-4bb9-8322-cf44e2e1cd9c","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","WASTE ROOM","Rough In (Cavity Pockets Only)"
"1b06de68-7950-464b-8128-86b33ebc38ff","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","WASTE ROOM","Fit Off"
"2c984b0d-acd1-4210-bd29-3213d72f30e5","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","WASTE ROOM","Installation"
"0215cfad-dfec-423c-b32a-dfa0e79c3078","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA D","WASTE ROOM","Handover"
"c8ff905d-12be-42c0-9530-99d22db5ce48","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA E"
"7b2a7db2-06ae-45d0-b66e-d25fbdc00e13","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA E","LIFT/STAIR 5"
"218be886-2060-4287-93f0-6122fd0de819","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","LIFT/STAIR 5","Rough In (PMJ Only)"
"f714fbc0-c8d0-40b7-a3bd-82ad33cffc96","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","LIFT/STAIR 5","Fit Off"
"1cebf4a7-7a07-4360-8479-b14d4a691b65","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","LIFT/STAIR 5","Installation"
"0df2cf5a-fc38-4981-abd0-7f364a373549","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","LIFT/STAIR 5","Handover"
"eb5dd011-ee34-4013-afc6-d19068ee594b","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA E","SMOKE LOBBY"
"5f715409-e175-4115-b3c0-b99ebcf2fc7b","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","SMOKE LOBBY","Rough In (PMJ Only)"
"37623630-df13-465a-af05-e5c7c7449cbf","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","SMOKE LOBBY","Fit Off"
"f641b4cf-1319-4a4d-b161-4fe2a1cbe787","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","SMOKE LOBBY","Installation"
"9f4cb45e-0f46-43f7-bef5-7c5240a45647","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","SMOKE LOBBY","Handover"
"365abe6b-b237-4492-8424-b5d6c6dd6d1a","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA E","ELECTRICAL CUPBOARD"
"360a54d3-15d1-4e11-a65b-1b274f3d4404","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","ELECTRICAL CUPBOARD","Rough In (PMJ Only)"
"ab219988-a3f8-482c-99cd-b140af54a0bc","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","ELECTRICAL CUPBOARD","Fit Off"
"3bed9b3a-6731-4c79-9c5e-1924d9d6f92d","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","ELECTRICAL CUPBOARD","Installation"
"72a752ad-70d1-4fd2-a126-96f63a0d695e","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","ELECTRICAL CUPBOARD","Handover"
"e136ad98-b6ab-480e-a1c4-bafe1ed4b90e","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA E","WASTE ROOM"
"76479152-77fc-44b9-b989-5dfc11626fa6","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","WASTE ROOM","Rough In (Cavity Pockets Only)"
"a4777fca-d12e-46b8-8e42-e8b58274a669","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","WASTE ROOM","Fit Off"
"5ca51c74-81f6-432d-bca9-e8353c361789","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","WASTE ROOM","Installation"
"c53fc796-b8ad-4468-a8d2-227a25c08766","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA E","WASTE ROOM","Handover"
"78d19bb2-1174-4948-8cc5-87f7ac425827","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA F"
"76680580-1405-4f8e-a5dd-a3c13a79fb6c","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA F","POOL PLANT ROOM"
"4021d8ba-204b-4a84-a56b-5cd334685bc4","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","POOL PLANT ROOM","Rough In (PMJ Only)"
"ebe602de-83c4-49e4-a361-3163b8ae423e","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","POOL PLANT ROOM","Fit Off"
"d8dd41b6-3e1f-4afd-8c64-4ee80988b1b8","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","POOL PLANT ROOM","Installation"
"a63ed11e-d953-4e4c-8ce1-fef9b304e0ba","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","POOL PLANT ROOM","Handover"
"950bc406-2cd0-4a4f-84e7-e0753937cdca","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA F","LIFT/STAIR 6"
"22246dc2-951c-4507-b47f-f73690538199","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","LIFT/STAIR 6","Rough In (PMJ Only)"
"4346a0e1-7119-4417-be8b-a6c62f622573","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","LIFT/STAIR 6","Fit Off"
"d0a0b420-6cba-468f-bbc7-4219702b056c","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","LIFT/STAIR 6","Installation"
"b6e8c3d1-7c24-4a8c-90af-ea6dc6bc70c9","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","LIFT/STAIR 6","Handover"
"b64b1f02-a9fe-402d-a99f-9c048714ead0","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA F","ELECTRICAL CUPBOARD"
"069cc59e-c3fa-47e1-b81f-61148d23c8c9","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","ELECTRICAL CUPBOARD","Rough In (PMJ Only)"
"5dfb67ca-1c50-443a-85ca-d8db24d250b5","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","ELECTRICAL CUPBOARD","Fit Off"
"a4398781-a811-4142-a309-e488ce23993e","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","ELECTRICAL CUPBOARD","Installation"
"515cd67b-b78e-45e1-8976-60b9475194e6","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","ELECTRICAL CUPBOARD","Handover"
"d228bbe6-da26-499a-815d-09af66c4e990","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA F","WASTE ROOM"
"52c236fc-db27-474d-91e8-bf04bbfb13af","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","WASTE ROOM","Rough In (Cavity Pockets Only)"
"fbc00b36-08c2-4c96-abda-6ec75f548008","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","WASTE ROOM","Fit Off"
"ab8ccf15-f24d-4a0c-8dc5-fa801bf7db9c","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","WASTE ROOM","Installation"
"738c201d-98be-4d36-85a9-9dd2631a2642","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA F","WASTE ROOM","Handover"
"0216e90e-a56d-48c1-8225-75a160b76cc6","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor"
"200b7542-1073-48b3-a1c1-8bcf5ef05d23","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS"
"89306e8a-b8a0-49ee-819f-24da80d0da4a","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 71"
"aa514759-640e-4079-b41e-77437b4f7a53","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 71","Rough In (Cavity Pockets & PMJ)"
"e62d245d-21ed-48c4-b301-cfd5732bff12","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 71","Fit Off"
"db64cf06-3c5b-41e5-a911-80f561067268","","checklist-flat","pass","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 71","Installation"
"a00886e4-1d60-4206-a627-11a2cfe56212","","checklist-flat","pass","Handover","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 71","Handover"
"01a439c6-58f8-4640-9263-f9d26489d6ef","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 72"
"d0edad5b-fb0a-4624-b6fd-77193623c244","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 72","Rough In (Cavity Pockets & PMJ)"
"17e91a16-af69-4fbd-9489-5db24b69251a","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 72","Fit Off"
"bce70c06-25e4-41d5-8240-61e9835ba45a","","checklist-flat","pass","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 72","Installation"
"a3aba731-703b-4d81-bdf0-56b86fc50933","","checklist-flat","pass","Handover","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 72","Handover"
"978fe9b6-1fa4-4cc5-904f-cdd7172c9498","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 73"
"f42c9db7-6b31-4749-88e1-dd4c11a89664","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 73","Rough In (Cavity Pockets & PMJ)"
"8f777e5f-2e5b-4fbe-bd0f-26f48ecda2d8","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 73","Fit Off"
"79c54b75-9ffc-40cd-8b8a-8087dbecaa50","","checklist-flat","pass","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 73","Installation"
"6b7689ec-67b9-4b4c-8392-916741350546","","checklist-flat","pass","Handover","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 73","Handover"
"b07d9ee6-2426-4542-ab23-20b53784b24d","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 74"
"7c6f7363-dc6e-45ab-9d94-d7b4bcd48673","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 74","Rough In (Cavity Pockets & PMJ)"
"af5a86f9-efcf-4668-bd9e-2dd3e5c4a29c","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 74","Fit Off"
"c40a3578-775b-4712-872e-5a38e4edb99b","","checklist-flat","pass","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 74","Installation"
"17336507-b919-4ead-8958-ec78a08af851","","checklist-flat","pass","Handover","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 74","Handover"
"30a8e2c6-f524-4a41-a071-1b75a27ea572","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 75"
"088ed332-92e2-451f-9b04-5eeaf60e2de2","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 75","Rough In (Cavity Pockets & PMJ)"
"bc3079ca-d75f-4af2-8418-934e9f863276","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 75","Fit Off"
"6531964c-e933-4732-b0ac-6afcf0156475","","checklist-flat","pass","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 75","Installation"
"89e90e8b-e0dc-49d5-a9d0-38a32b23312e","","checklist-flat","pass","Handover","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 75","Handover"
"ceff5955-fc8d-488f-bfbd-636986c1ed12","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 76"
"3bc9efda-977b-4696-bc18-25e3a7118cf8","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 76","Rough In (Cavity Pockets & PMJ)"
"116873d7-342c-4331-9c5f-f2cf9f1023a9","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 76","Fit Off"
"7ddcf387-5dc2-4970-b5c5-38c16c71f564","","checklist-flat","pass","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 76","Installation"
"6c2d452f-6e73-48f6-baf7-454bf90e296c","","checklist-flat","pass","Handover","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 76","Handover"
"09fd81c6-e70c-4bc6-925f-f113a3acf28e","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 77"
"930a64c9-5c95-4a05-9063-b7ec7d82d4fc","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 77","Rough In (Cavity Pockets & PMJ)"
"b87b5945-ee92-43dc-a289-a2197a44db29","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 77","Fit Off"
"cfd78338-4570-4fd5-b06a-810d645c6e38","","checklist-flat","pass","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 77","Installation"
"6dd820c2-e87b-4cc7-b77c-32fab4c09a26","","checklist-flat","pass","Handover","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 77","Handover"
"86df9474-1bb5-4e25-b5bd-8a4cc8c7d3dc","","folder-normal","pass","","step","TRUE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 78"
"e11e13ae-027a-465d-a804-9020601f26ff","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 78","Rough In (Cavity Pockets & PMJ)"
"f163f4c4-f827-4409-96fc-84f934bf8692","","checklist-flat","pass","Fit Off","checklist-flat","FALSE","FALSE","B02","Ground Floor","AREA C - APARTMENTS","APT 78","Fit Off"
