Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
bb1a71be-6742-4801-af96-7a983d5ae9a8,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G001,Grouting of Concrete Precast Panels / Columns ITP
83e17fa9-e431-44d3-92a9-b1cdb6a18e8b,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G002,Grouting of Concrete Precast Panels / Columns ITP
99fe72d0-af75-4e53-93e1-6cd744f9d8c4,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G003,Grouting of Concrete Precast Panels / Columns ITP
fee88309-c3e0-45d7-9b0b-11885497c481,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G004,Grouting of Concrete Precast Panels / Columns ITP
a6f1fff7-cbfe-416f-bc12-75baf2c04100,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G005,Grouting of Concrete Precast Panels / Columns ITP
2c7a2202-ade9-4060-aa5e-860b755b2b40,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G006,Grouting of Concrete Precast Panels / Columns ITP
96ef648e-d528-4ca1-a221-ea2d352675b3,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G007,Grouting of Concrete Precast Panels / Columns ITP
9ee2ecc0-c4ab-4c93-a890-5d8c588723d4,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G008,Grouting of Concrete Precast Panels / Columns ITP
84afbaf9-15fb-40a6-806e-8e95f77b04e7,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G009,Grouting of Concrete Precast Panels / Columns ITP
8088d4c0-3715-4106-8dfd-aaa166451da5,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G010,Grouting of Concrete Precast Panels / Columns ITP
dc9f5aa1-8c7c-48aa-a323-5cc945a961d7,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G011,Grouting of Concrete Precast Panels / Columns ITP
0b5212c9-8971-4bdb-913f-404223c29ce1,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G012,Grouting of Concrete Precast Panels / Columns ITP
dc2fd5f6-ce7b-46ad-8665-815f4f7036de,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G013,Grouting of Concrete Precast Panels / Columns ITP
b8aa76f7-7509-4341-9ab4-3c6e18a7cc42,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G014,Grouting of Concrete Precast Panels / Columns ITP
da1c176d-c9eb-4137-bdc0-20f18c79e40c,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G015,Grouting of Concrete Precast Panels / Columns ITP
73414fa9-6bf8-4b2e-ac21-8ea8b4880dc8,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G016,Grouting of Concrete Precast Panels / Columns ITP
8e23ca14-ad3d-4bbe-af0c-9dcd373e7b4b,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G017,Grouting of Concrete Precast Panels / Columns ITP
cea4d9a2-8741-4c2c-aa42-ed22fe33274c,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G018,Grouting of Concrete Precast Panels / Columns ITP
49f8287f-2145-488d-bda1-822fa4307384,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G019,Grouting of Concrete Precast Panels / Columns ITP
0d6fe252-e6d0-421f-9c17-c15e9447822a,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G020,Grouting of Concrete Precast Panels / Columns ITP
25ca8899-5bc9-4f0f-8205-1992ab4ecd45,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G020-1,Grouting of Concrete Precast Panels / Columns ITP
30cf4014-831b-4858-ad83-c4c3086a6e7f,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G020-2,Grouting of Concrete Precast Panels / Columns ITP
79dc4f40-473b-45a1-8f3c-3492cff8e686,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,OGO21,Grouting of Concrete Precast Panels / Columns ITP
21c1b5f4-c0af-47c7-9ca4-b0d5b71e5971,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G022,Grouting of Concrete Precast Panels / Columns ITP
ad394111-60dd-474d-b79f-f2e6e5c22388,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G023-1,Grouting of Concrete Precast Panels / Columns ITP
55a659c5-7774-4ca4-9557-f6d9535eeecc,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G024,Grouting of Concrete Precast Panels / Columns ITP
de9158a0-5ba7-4ac0-9505-f0f13b4ba8c4,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G025,Grouting of Concrete Precast Panels / Columns ITP
0319e457-ea47-4e59-bc87-9c7eccee625b,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G026,Grouting of Concrete Precast Panels / Columns ITP
31884a16-d233-4415-be2d-dfacbaf4e4a9,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G027,Grouting of Concrete Precast Panels / Columns ITP
c10ed40f-1aaf-45af-acc6-818c1c3c83b2,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G028,Grouting of Concrete Precast Panels / Columns ITP
c61552b0-23d0-4313-973f-94cdf0be995b,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G028-1,Grouting of Concrete Precast Panels / Columns ITP
ea4d92ea-f763-45c4-a187-71d6628d2df9,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G029,Grouting of Concrete Precast Panels / Columns ITP
b1e4144a-3736-4947-a1e0-013a2fa1de5e,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G029-1,Grouting of Concrete Precast Panels / Columns ITP
468ab83c-9cf6-4ebc-8b7c-eb3f17147d87,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G029-2,Grouting of Concrete Precast Panels / Columns ITP
b7da1e5f-a36e-4ba6-a9dd-32507a61ff92,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G031,Grouting of Concrete Precast Panels / Columns ITP
3165f56f-73a5-4807-a8e0-9b80f41cb71c,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G031-1,Grouting of Concrete Precast Panels / Columns ITP
c11cb775-6d04-4d74-91b4-98038d4312d6,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G032,Grouting of Concrete Precast Panels / Columns ITP
3b7ce85d-9caf-4f68-9cc7-a7d24b21a55b,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G032-1,Grouting of Concrete Precast Panels / Columns ITP
42f8da2e-dc89-45d0-bcf1-dd79570ac7b0,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G033,Grouting of Concrete Precast Panels / Columns ITP
cfaf29a4-4a56-4299-8b7e-d255e1bf88bf,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G035,Grouting of Concrete Precast Panels / Columns ITP
a309f06d-5dd0-4e4c-9ff8-590ede632dda,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G035-1,Grouting of Concrete Precast Panels / Columns ITP
c74fe8c6-58bd-4c8a-a846-44ba6a2607a6,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G036,Grouting of Concrete Precast Panels / Columns ITP
cc36a5dd-9273-4fa2-92ab-1f17aa0e8f4c,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G037,Grouting of Concrete Precast Panels / Columns ITP
44a466f9-16e8-4715-8779-c2ce623727ed,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G038,Grouting of Concrete Precast Panels / Columns ITP
8d4cd2c2-d68e-4f0d-862b-d789622b1e1a,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G039,Grouting of Concrete Precast Panels / Columns ITP
68af9d58-d5d5-400e-8a6b-ad457f29a6d0,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G039-1,Grouting of Concrete Precast Panels / Columns ITP
92989a40-a1a6-41a5-85a4-5aada27b45bd,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G039-2,Grouting of Concrete Precast Panels / Columns ITP
541bc062-4314-4345-9164-6ea3800c8a8f,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G040,Grouting of Concrete Precast Panels / Columns ITP
dbf2ff4d-1613-4ec8-a8cf-dfff0153e90e,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G040-1,Grouting of Concrete Precast Panels / Columns ITP
6639fdab-084d-4e34-b520-c1ba7d136548,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G041,Grouting of Concrete Precast Panels / Columns ITP
499d9692-a311-4309-bea2-c288be381961,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G043,Grouting of Concrete Precast Panels / Columns ITP
e4029fac-28b1-4155-9314-76ac40649112,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G044,Grouting of Concrete Precast Panels / Columns ITP
4daf8d70-58bb-47b3-b74a-698cd9444363,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G045,Grouting of Concrete Precast Panels / Columns ITP
1e539bdd-663f-493f-8a82-7b3c7bfb127e,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G046,Grouting of Concrete Precast Panels / Columns ITP
c047f6df-9e01-4190-bf38-a1258e603131,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0G047,Grouting of Concrete Precast Panels / Columns ITP
8eec003d-fcff-4319-9711-6ecede751de3,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC01,Grouting of Concrete Precast Panels / Columns ITP
78f3d852-358c-4a89-9f92-51ef9d60891d,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC02,Grouting of Concrete Precast Panels / Columns ITP
09b93726-109c-43ee-9b52-14206cf68106,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC03,Grouting of Concrete Precast Panels / Columns ITP
1f362cea-b6a9-4a89-848f-2489cebe86f1,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC04,Grouting of Concrete Precast Panels / Columns ITP
fc4d459a-b22b-450e-8016-dc8dda94d5a1,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC05,Grouting of Concrete Precast Panels / Columns ITP
0aa4a6f8-566c-4bee-ac0c-064e9fd4fa52,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC06,Grouting of Concrete Precast Panels / Columns ITP
c8d68cce-30ed-44fb-b7bf-2b1676508f0a,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC07,Grouting of Concrete Precast Panels / Columns ITP
fdf210f2-3eb7-4aa4-97a1-032802d1b573,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC08,Grouting of Concrete Precast Panels / Columns ITP
1f460d7d-9501-4d09-84d0-73234d49aea2,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC09,Grouting of Concrete Precast Panels / Columns ITP
ce291b4d-5413-4c85-a111-e9d807928b2d,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC10,Grouting of Concrete Precast Panels / Columns ITP
2bb796cd-343a-4fa6-825f-45ba1106c886,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC11,Grouting of Concrete Precast Panels / Columns ITP
0b1dc813-95c8-4893-8638-fc25d87df01f,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC12,Grouting of Concrete Precast Panels / Columns ITP
64637106-87a8-4344-a3b0-5b26c20e6fb4,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC13,Grouting of Concrete Precast Panels / Columns ITP
9f9bdf03-cfcf-4095-853a-4cb4feb85ad9,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC14,Grouting of Concrete Precast Panels / Columns ITP
7c6b8ea7-2a98-4f49-b31c-c442241f7e25,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Ground Floor,Columns,0GC15,Grouting of Concrete Precast Panels / Columns ITP
bf686cb6-3783-49e4-83c9-b9b0a383e85a,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P001,Grouting of Concrete Precast Panels / Columns ITP
7aca90a2-6d97-4ec2-9ce9-e4b6106883bd,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P002,Grouting of Concrete Precast Panels / Columns ITP
ce12ffca-7303-4f75-a6ea-22fd7af4ce7f,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P002-1,Grouting of Concrete Precast Panels / Columns ITP
b58e000e-a11c-4e3e-b6de-ba42047af3d5,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P003,Grouting of Concrete Precast Panels / Columns ITP
b69bd563-e4ba-4e5c-a331-1586913f0b17,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P004,Grouting of Concrete Precast Panels / Columns ITP
f01db307-3213-4c84-a57f-c57b10c0fc8d,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P005,Grouting of Concrete Precast Panels / Columns ITP
06aea346-b393-4e39-aae3-4771203c360b,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P006,Grouting of Concrete Precast Panels / Columns ITP
ce482046-e4e8-4cb9-98aa-c05b8f391634,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P006-1,Grouting of Concrete Precast Panels / Columns ITP
ceffe31b-4d09-4d5e-996b-4c85e2530d74,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P006-3,Grouting of Concrete Precast Panels / Columns ITP
b1c0c467-d73e-44ce-bd07-869e98182d66,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P006-4,Grouting of Concrete Precast Panels / Columns ITP
291cfa42-9919-4ac8-9022-3f05a5ee6f31,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P007,Grouting of Concrete Precast Panels / Columns ITP
186d2db6-d88a-4777-b91e-2ab629d08fc6,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P007-1,Grouting of Concrete Precast Panels / Columns ITP
d80bfa32-b7c2-4147-8841-7f8bcf6496f1,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P007-2,Grouting of Concrete Precast Panels / Columns ITP
070517df-9791-4453-a609-6361899ba2b1,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P007-3,Grouting of Concrete Precast Panels / Columns ITP
661c20f9-278e-4d33-a775-2a356212776e,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P007-4,Grouting of Concrete Precast Panels / Columns ITP
9c717e87-a176-4102-9fd4-2fe40091121a,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P007-5,Grouting of Concrete Precast Panels / Columns ITP
3f58933f-5cb1-4d61-bfba-2474f0ede748,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P008,Grouting of Concrete Precast Panels / Columns ITP
7eb6d06e-a81d-4042-82a3-d237467f726b,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P008- 1,Grouting of Concrete Precast Panels / Columns ITP
a61f08b6-ebea-49e2-b9f8-e539616ddf23,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P008-2,Grouting of Concrete Precast Panels / Columns ITP
8fe8c764-fe07-4768-8621-be1f78dbf0c4,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P009,Grouting of Concrete Precast Panels / Columns ITP
0f859a73-9fde-47cb-acab-b7f9c4dd09ca,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P010,Grouting of Concrete Precast Panels / Columns ITP
6f8981b6-5c97-4ef3-99b1-28af2d261998,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P011,Grouting of Concrete Precast Panels / Columns ITP
b590d76e-f827-490e-a768-b9de0c0e1a6b,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P011-1,Grouting of Concrete Precast Panels / Columns ITP
6d47378a-f53f-469c-a2f7-4764ad6bab2a,,checklist-flat,,Grouting of Concrete Precast Panels / Columns ITP,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P012,Grouting of Concrete Precast Panels / Columns ITP
df98d927-8333-4c45-a3e0-109a6af7865f,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P013,Grouting of Concrete Precast Panels / Columns ITP
fe1930fd-f758-4f65-85ff-7fa7824f875d,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P014,Grouting of Concrete Precast Panels / Columns ITP
0dcd08b4-8984-459b-a635-36db3fd42b34,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P015,Grouting of Concrete Precast Panels / Columns ITP
e3d5ebdd-6f32-4b9e-abdf-4ffc19176d4e,,checklist-flat,,6a9ef01028bb3e0e4cc1da92f64ef47846a99a8fe48be8dfebd14044e4af5e4e,checklist-flat,FALSE,FALSE,Site QA,Level 1,Columns,1P016,Grouting of Concrete Precast Panels / Columns ITP
